City,latitude,longitude,Pop_1980,Pop_1990,Pop_2000,Pop_2010
Kenosha,42.588081,-87.822899,77685,80352,90352,99218
Madison,43.073051,-89.40123,170616,191262,208054,233209
Racine,42.722702,-87.784225,85725,84298,81855,78860
Appleton,44.2619,-88.4154,58913,65695,70087,72623
Milwaukee,43.038902,-87.906471,636212,628088,596974,594833
Waukesha,43.0186,-88.259773,50365,56894,64825,70718
Green Bay,44.513332,-88.015831,87947,96466,102313,104057
Eau Claire,44.811348,-91.498497,78805,85377,148689,161658
Menomonie,44.8742,-91.9175,12769,13547,14937,16264
Oshkosh,44.034294,-88.547745,49620,55006,62916,66083
Janesville,42.68279,-89.01872,51071,52133,59498,63575
La Crosse,43.8014,-91.2396,48347,51140,51818,51320
Sheboygan,43.75083,-87.71453,48085,49718,50792,49929
Wasau,44.9591,-89.6301,32426,37060,38426,39114
West Allis,43.0167,88.007,63982,63221,61254,60411
